Brand,Model,Year,Price,Fuel_Type,Transmission,Mileage,Engine_CC,Power_BHP,Torque_Nm,Body_Type,Seats,Drive_Type,Owner_Type
Tata,Nexon,2023,1200000,Petrol,Manual,18.5,1199,120,170,SUV,5,FWD,First
Tata,Harrier,2023,2100000,Diesel,Automatic,15.2,1956,170,350,SUV,7,FWD,First
Tata,Safari,2022,2600000,Diesel,Automatic,14.5,1956,170,350,SUV,7,FWD,First
Tata,Altroz,2023,850000,Petrol,Manual,19.5,1199,86,115,Hatchback,5,FWD,First
Tata,Punch,2023,650000,Petrol,Manual,18.8,1199,86,115,SUV,5,FWD,First
Mahindra,XUV700,2023,2800000,Diesel,Automatic,14.0,2198,185,420,SUV,7,AWD,First
Mahindra,Scorpio,2022,2100000,Diesel,Manual,15.5,2184,130,400,SUV,7,RWD,First
Mahindra,Thar,2023,1600000,Diesel,Manual,15.2,2184,130,300,SUV,4,4WD,First
Mahindra,XUV300,2022,1200000,Petrol,Manual,17.5,1197,110,200,SUV,5,FWD,First
Maruti Suzuki,Swift,2023,750000,Petrol,Manual,21.5,1197,83,113,Hatchback,5,FWD,First
Maruti Suzuki,Baleno,2023,950000,Petrol,Manual,21.0,1197,89,115,Hatchback,5,FWD,First
Maruti Suzuki,Dzire,2022,900000,Petrol,Manual,22.0,1197,89,113,Sedan,5,FWD,First
Maruti Suzuki,Brezza,2023,1150000,Petrol,Manual,17.5,1462,103,138,SUV,5,FWD,First
Maruti Suzuki,Grand Vitara,2023,1500000,Hybrid,Automatic,25.0,1460,91,122,SUV,5,FWD,First
Toyota,Innova Crysta,2022,2800000,Diesel,Automatic,11.5,2755,174,360,MPV,7,RWD,First
Toyota,Fortuner,2023,3800000,Diesel,Automatic,10.0,2755,204,500,SUV,7,4WD,First
Toyota,Corolla,2022,2200000,Petrol,Automatic,14.5,1798,138,173,Sedan,5,FWD,First
Toyota,Glanza,2023,1000000,Petrol,Manual,19.5,1197,83,113,Hatchback,5,FWD,First
Toyota,Urban Cruiser,2022,1400000,Petrol,Manual,17.5,1462,103,138,SUV,5,FWD,First
Honda,City,2023,1500000,Petrol,Manual,17.8,1498,121,145,Sedan,5,FWD,First
Honda,Amaze,2022,850000,Petrol,Manual,18.6,1199,90,110,Sedan,5,FWD,First
Honda,HR-V,2023,2200000,Petrol,Automatic,16.5,1498,174,220,SUV,5,FWD,First
Honda,Civic,2022,2600000,Petrol,Automatic,15.0,1498,173,220,Sedan,5,FWD,First
Nissan,Magnite,2023,750000,Petrol,Manual,18.5,999,72,96,SUV,5,FWD,First
Nissan,Kicks,2022,1600000,Petrol,Manual,15.0,1498,130,200,SUV,5,FWD,First
Nissan,Sunny,2021,1200000,Petrol,Manual,17.0,1498,106,140,Sedan,5,FWD,First
BMW,3 Series,2023,5500000,Petrol,Automatic,14.5,1998,255,400,Sedan,5,RWD,First
BMW,5 Series,2022,7500000,Diesel,Automatic,13.0,2993,265,620,Sedan,5,AWD,First
BMW,X3,2023,6800000,Diesel,Automatic,12.5,2993,265,620,SUV,5,AWD,First
BMW,X5,2022,9500000,Petrol,Automatic,10.0,2998,340,650,SUV,7,AWD,First
BMW,7 Series,2023,12000000,Petrol,Automatic,9.5,2998,382,520,Sedan,5,AWD,First
Mercedes-Benz,C-Class,2023,5800000,Petrol,Automatic,14.0,1497,201,320,Sedan,5,RWD,First
Mercedes-Benz,E-Class,2022,8500000,Diesel,Automatic,12.5,1950,285,600,Sedan,5,AWD,First
